City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Sinjar,IQ,36.3209,41.8754,64.94,27,44,7.54,scattered clouds
1,Bluff,NZ,-46.6,168.3333,63.81,66,43,3.8,scattered clouds
2,Iqaluit,CA,63.7506,-68.5145,29.93,100,100,11.5,light snow
3,Port Elizabeth,ZA,-33.918,25.5701,59.09,96,100,11.5,shower rain
4,Avera,US,33.194,-82.5271,60.39,86,100,9.06,overcast clouds
5,Hilo,US,19.7297,-155.09,82.13,81,0,8.05,clear sky
6,Masvingo,ZW,-20.0637,30.8277,66.58,61,15,4.34,few clouds
7,Uvira,CD,-3.4067,29.1458,74.35,70,77,1.52,broken clouds
8,Takoradi,GH,4.8845,-1.7554,78.21,83,2,4.43,clear sky
9,Pevek,RU,69.7008,170.3133,6.17,96,100,5.48,overcast clouds
10,Kapaa,US,22.0752,-159.319,85.98,78,0,16.11,light rain
11,Bredasdorp,ZA,-34.5322,20.0403,55.33,71,100,9.91,overcast clouds
12,New Milford,US,40.9327,-74.0179,56.82,69,0,0.0,clear sky
13,Hermanus,ZA,-34.4187,19.2345,55.8,70,100,15.48,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,65.55,96,82,7.67,broken clouds
15,Nola,IT,40.922,14.5329,63.63,69,0,1.79,clear sky
16,Albany,US,42.6001,-73.9662,50.59,54,59,2.46,broken clouds
17,Bandarbeyla,SO,9.4942,50.8122,77.61,81,24,5.53,light rain
18,Saldanha,ZA,-33.0117,17.9442,57.25,67,2,22.55,clear sky
19,Torbay,CA,47.6666,-52.7314,48.76,87,40,16.11,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,58.26,60,0,24.16,clear sky
21,Bethel,US,41.3712,-73.414,49.95,69,0,0.0,clear sky
22,Vaini,TO,-21.2,-175.2,80.76,83,75,13.8,broken clouds
23,Ribeira Grande,PT,38.5167,-28.7,57.78,69,80,8.01,broken clouds
24,Busselton,AU,-33.65,115.3333,60.06,56,96,12.21,overcast clouds
25,Poum,NC,-20.2333,164.0167,78.33,74,5,16.93,clear sky
26,Arcachon,FR,44.5875,-1.0519,61.12,100,40,4.61,mist
27,Dikson,RU,73.5069,80.5464,30.87,98,100,24.76,snow
28,Terney,RU,45.0503,136.6092,48.06,61,34,6.87,scattered clouds
29,Saint-Louis,SN,16.3333,-15.0,83.1,15,52,8.43,broken clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,75,8.05,light snow
31,Ponta Do Sol,PT,32.6667,-17.1,72.72,83,80,5.99,broken clouds
32,Airai,TL,-8.9266,125.4092,73.2,66,95,1.39,overcast clouds
33,Vostok,RU,46.4856,135.8833,47.28,31,100,2.1,overcast clouds
34,Kruisfontein,ZA,-34.0033,24.7314,56.88,81,88,6.64,light rain
35,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,43,12.84,scattered clouds
36,Ozd,HU,48.2167,20.3,49.12,82,10,0.58,clear sky
37,Porgera,PG,-5.4667,143.2,63.18,45,54,4.61,broken clouds
38,Butaritari,KI,3.0707,172.7902,79.84,72,43,9.66,scattered clouds
39,Mataura,NZ,-46.1927,168.8643,63.48,40,60,4.23,broken clouds
40,Chokurdakh,RU,70.6333,147.9167,-15.63,100,93,3.49,overcast clouds
41,Avarua,CK,-21.2078,-159.775,73.45,94,100,20.71,light rain
42,Rikitea,PF,-23.1203,-134.9692,69.3,84,100,7.85,light rain
43,Muros,ES,42.7762,-9.0603,59.68,89,100,14.47,heavy intensity rain
44,Ushuaia,AR,-54.8,-68.3,42.46,70,20,29.93,few clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,73.76,92,93,26.49,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,16.11,clear sky
47,Vanavara,RU,60.34,102.2797,17.65,82,54,6.13,broken clouds
48,Muroto,JP,33.2833,134.15,66.33,56,9,13.02,clear sky
49,Chuy,UY,-33.6971,-53.4616,53.96,84,100,17.45,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,57.18,95,86,1.99,overcast clouds
51,Jamestown,US,42.097,-79.2353,55.04,47,0,9.22,clear sky
52,Lompoc,US,34.6391,-120.4579,58.01,96,75,6.91,broken clouds
53,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.34,91,98,23.47,overcast clouds
54,Mantua,IT,45.1667,10.7833,56.44,69,91,6.04,overcast clouds
55,Nishihara,JP,26.1842,127.7558,74.86,88,100,20.71,shower rain
56,Eydhafushi,MV,5.1033,73.0708,80.76,71,85,7.65,overcast clouds
57,Faanui,PF,-16.4833,-151.75,79.48,78,14,12.57,light rain
58,Okha,RU,53.5739,142.9478,40.86,70,100,12.5,overcast clouds
59,Mayo,US,38.8876,-76.5119,54.12,92,0,0.0,clear sky
60,Nurota,UZ,40.5614,65.6886,47.97,61,43,4.88,scattered clouds
61,Ancud,CL,-41.8697,-73.8203,42.76,84,8,4.12,clear sky
62,Debre Tabor,ET,11.85,38.0167,47.01,54,13,6.22,few clouds
63,Hokitika,NZ,-42.7167,170.9667,59.52,81,79,10.18,broken clouds
64,Champerico,GT,14.3,-91.9167,80.37,76,13,4.23,few clouds
65,Arlit,NE,18.7369,7.3853,70.97,23,0,9.78,clear sky
66,Khatanga,RU,71.9667,102.5,3.27,98,93,6.33,overcast clouds
67,Georgetown,MY,5.4112,100.3354,78.89,95,20,3.44,few clouds
68,Faya,SA,18.3851,42.4509,55.51,36,93,4.18,overcast clouds
69,Broome,US,42.2506,-75.833,50.38,61,0,5.75,clear sky
70,Vardo,NO,70.3705,31.1107,35.58,75,20,12.66,few clouds
71,Alyangula,AU,-13.8483,136.4192,87.85,60,83,6.08,broken clouds
72,Oltu,TR,40.5498,42.0013,42.69,52,0,4.83,clear sky
73,Yenagoa,NG,4.9247,6.2642,75.29,93,11,3.2,few clouds
74,Amos,CA,48.5669,-78.1162,45.18,78,34,5.01,scattered clouds
75,Rawson,AR,-43.3002,-65.1023,46.27,54,9,2.89,clear sky
76,Kaitangata,NZ,-46.2817,169.8464,59.04,69,24,9.75,few clouds
77,Porto Novo,BJ,6.4965,2.6036,76.82,86,48,2.3,light rain
78,Touros,BR,-5.1989,-35.4608,76.93,75,49,12.95,scattered clouds
79,Cherskiy,RU,68.75,161.3,-0.74,97,98,6.67,overcast clouds
80,Namatanai,PG,-3.6667,152.4333,86.38,60,22,6.24,few clouds
81,Gulu,UG,2.7746,32.299,64.89,91,85,3.09,overcast clouds
82,Padang,ID,-0.9492,100.3543,77.05,76,100,2.3,light rain
83,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,4.61,overcast clouds
84,Saint George,US,37.1041,-113.5841,64.99,25,0,12.66,clear sky
85,Kununurra,AU,-15.7667,128.7333,100.38,27,33,11.5,scattered clouds
86,Vila Velha,BR,-20.3297,-40.2925,78.75,87,40,11.01,scattered clouds
87,Kavieng,PG,-2.5744,150.7967,85.77,62,11,7.52,few clouds
88,Hambantota,LK,6.1241,81.1185,77.34,100,20,2.3,few clouds
89,Saint-Francois,FR,46.4154,3.9054,49.68,100,0,3.44,clear sky
90,Valdivia,CL,-39.8142,-73.2459,41.09,79,0,3.0,clear sky
91,Hobart,AU,-42.8794,147.3294,66.06,52,75,32.21,light rain
92,Mahebourg,MU,-20.4081,57.7,68.29,94,75,3.44,broken clouds
93,Dicabisagan,PH,17.0818,122.4157,81.77,86,93,19.93,overcast clouds
94,Tasiilaq,GL,65.6145,-37.6368,35.76,95,100,20.33,light rain
95,Kloulklubed,PW,7.0419,134.2556,73.9,89,100,15.35,very heavy rain
96,High River,CA,50.5834,-113.8687,48.16,58,90,21.7,overcast clouds
97,Mareeba,AU,-17.0,145.4333,93.43,57,25,7.65,scattered clouds
98,Chulym,RU,55.0997,80.9572,27.43,68,100,7.54,overcast clouds
99,Bambanglipuro,ID,-7.95,110.2833,82.71,66,63,7.74,broken clouds
100,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,3.44,light rain
101,Pacifica,US,37.6138,-122.4869,60.64,91,20,11.5,mist
102,Qaanaaq,GL,77.484,-69.3632,-4.85,69,11,8.12,few clouds
103,Sakakah,SA,29.9697,40.2064,65.77,31,58,4.34,broken clouds
104,Yerofey Pavlovich,RU,53.9667,121.9667,30.06,77,100,5.73,overcast clouds
105,Codrington,AU,-38.2667,141.9667,50.54,92,100,11.92,overcast clouds
106,Bengkulu,ID,-3.8004,102.2655,82.18,71,87,3.62,overcast clouds
107,Clyde River,CA,70.4692,-68.5914,3.43,85,75,5.75,broken clouds
108,San Cristobal,VE,7.7669,-72.225,69.98,98,84,1.92,broken clouds
109,Hithadhoo,MV,-0.6,73.0833,80.2,79,100,12.5,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,65.7,66,75,12.8,broken clouds
111,Nikolskoye,RU,59.7035,30.7861,34.92,69,13,11.79,few clouds
112,Norman Wells,CA,65.282,-126.8329,14.04,92,100,3.44,light snow
113,Bazarnyy Syzgan,RU,53.7512,46.7535,30.02,83,49,12.01,scattered clouds
114,Castro,BR,-24.7911,-50.0119,62.49,98,100,5.08,overcast clouds
115,Kahului,US,20.8947,-156.47,82.42,76,100,13.8,overcast clouds
116,Sobolevo,RU,54.4299,31.8996,33.1,74,8,16.06,clear sky
117,Jinchang,CN,38.4953,102.1739,51.4,35,0,2.24,clear sky
118,Adrar,MR,20.5022,-10.0711,73.94,13,33,9.42,scattered clouds
119,Khandyga,RU,62.6667,135.6,12.58,77,53,2.15,broken clouds
120,Waipawa,NZ,-41.4122,175.5153,68.13,55,61,5.37,broken clouds
121,Karratha,AU,-20.7377,116.8463,82.71,13,4,17.02,clear sky
122,Farkhor,TJ,37.4922,69.4036,58.93,64,99,4.14,overcast clouds
123,Amapa,BR,1.0,-52.0,72.19,94,100,1.54,light rain
124,Tiksi,RU,71.6872,128.8694,10.13,91,99,7.49,overcast clouds
125,Farafangana,MG,-22.8167,47.8333,70.79,87,5,5.99,clear sky
126,East London,ZA,-33.0153,27.9116,60.84,70,60,17.49,broken clouds
127,Eaton Socon,GB,52.2175,-0.2893,54.25,93,100,10.45,overcast clouds
128,Kieta,PG,-6.2167,155.6333,83.82,76,24,3.71,light rain
129,Tuatapere,NZ,-46.1333,167.6833,59.45,68,71,8.86,broken clouds
130,Nizwa,OM,22.9333,57.5333,72.39,56,2,0.69,clear sky
131,Seguin,US,29.5688,-97.9647,68.92,62,0,4.61,clear sky
132,Scottsbluff,US,41.8666,-103.6672,49.32,43,0,3.44,clear sky
133,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,42,0,4.61,clear sky
134,Talnakh,RU,69.4865,88.3972,24.21,96,100,13.06,snow
135,Pangnirtung,CA,66.1451,-65.7125,16.3,84,99,6.26,overcast clouds
136,Nabire,ID,-3.3667,135.4833,87.76,67,82,5.86,broken clouds
137,Mount Isa,AU,-20.7333,139.5,101.97,21,1,19.57,clear sky
138,Barrow,US,71.2906,-156.7887,17.62,79,100,21.85,overcast clouds
139,Yulara,AU,-25.2406,130.9889,64.15,29,100,19.84,overcast clouds
140,Salalah,OM,17.0151,54.0924,77.09,69,20,5.75,few clouds
141,Vila,PT,42.0304,-8.1588,47.28,93,100,5.21,light rain
142,San Lorenzo,PY,-25.3333,-57.5333,74.34,100,100,6.91,moderate rain
143,San Jeronimo,PE,-11.9472,-75.2829,53.92,59,5,2.98,clear sky
144,Antalaha,MG,-14.9003,50.2788,69.69,79,18,5.59,few clouds
145,Margate,GB,51.3813,1.3862,59.31,92,100,3.0,overcast clouds
146,Easton,US,40.6884,-75.2207,52.84,67,0,0.0,clear sky
147,Roald,NO,62.5833,6.1333,55.76,93,20,4.61,light rain
148,Sao Francisco Do Sul,BR,-26.2433,-48.6381,71.51,94,75,2.3,broken clouds
149,Cockburn Town,TC,21.4612,-71.1419,82.36,76,4,18.84,light rain
150,Atuona,PF,-9.8,-139.0333,77.41,76,8,16.73,clear sky
151,Cansancao,BR,-10.6672,-39.4992,72.41,69,5,7.67,clear sky
152,Labuhan,ID,-6.8844,112.2051,87.53,50,100,7.2,overcast clouds
153,Saskylakh,RU,71.9167,114.0833,3.34,97,93,5.32,overcast clouds
154,Harper,LR,4.375,-7.7169,77.09,88,24,7.43,few clouds
155,Chicama,PE,-7.8447,-79.1469,57.74,84,55,5.99,broken clouds
156,Zhigansk,RU,66.7697,123.3711,12.33,95,100,8.43,overcast clouds
157,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,30,11.81,scattered clouds
158,Laguna,US,38.421,-121.4238,68.31,49,0,8.05,clear sky
159,Ambon,ID,-3.6954,128.1814,87.94,70,40,3.44,light rain
160,Aripuana,BR,-9.1667,-60.6333,72.9,92,22,2.08,few clouds
161,Homer,US,59.6425,-151.5483,33.67,55,0,10.36,clear sky
162,Boffa,GN,10.1667,-14.0333,77.5,93,5,2.51,clear sky
163,Moengo,SR,5.6167,-54.4,73.72,99,100,2.06,light rain
164,Rodrigues Alves,BR,-7.738,-72.6509,78.96,72,100,2.44,overcast clouds
165,Songjianghe,CN,42.1859,127.479,51.26,66,100,8.66,overcast clouds
166,Inirida,CO,3.8653,-67.9239,73.56,97,100,3.18,overcast clouds
167,Bonthe,SL,7.5264,-12.505,77.9,82,22,2.77,light rain
168,Ucluelet,CA,48.9329,-125.5528,50.09,94,100,1.01,overcast clouds
169,Coolum Beach,AU,-26.5333,153.1,81.1,80,29,13.42,scattered clouds
170,Mar Del Plata,AR,-38.0023,-57.5575,50.88,72,40,7.0,scattered clouds
171,Orlik,RU,52.5178,99.825,17.65,53,5,2.39,clear sky
172,Gwadar,PK,25.1216,62.3254,77.58,71,37,7.63,scattered clouds
173,Ugoofaaru,MV,5.6667,73.0,80.71,70,96,6.62,overcast clouds
174,Yuzhnyy,RU,53.2542,83.6936,28.78,80,40,6.71,light shower snow
175,Aswan,EG,24.0934,32.907,67.3,48,0,4.61,clear sky
176,Kindu,CD,-2.95,25.95,69.87,99,100,3.44,light rain
177,Kokstad,ZA,-30.5472,29.4241,51.57,86,100,2.44,overcast clouds
178,Agutaya,PH,11.148,120.9417,82.36,82,95,26.13,overcast clouds
179,Metro,ID,-5.1131,105.3067,84.61,60,100,8.9,overcast clouds
180,Zhaodong,CN,46.0833,125.9833,48.61,78,100,14.9,overcast clouds
181,Hun,LY,29.1268,15.9477,64.29,63,46,5.12,scattered clouds
182,Victoria,HK,22.2855,114.1577,81.18,59,100,18.99,overcast clouds
183,Esna,EG,25.2934,32.554,68.02,49,0,8.72,clear sky
184,Mogadishu,SO,2.0371,45.3438,78.44,82,10,10.96,clear sky
185,Husavik,IS,66.0449,-17.3389,40.75,97,100,11.34,light rain
186,Provideniya,RU,64.3833,-173.3,21.31,49,40,4.47,scattered clouds
187,Axim,GH,4.8699,-2.2405,77.04,86,10,3.83,light rain
188,Aykhal,RU,66.0,111.5,-0.51,99,88,4.07,overcast clouds
189,Leshukonskoye,RU,64.8989,45.7622,34.68,99,100,1.79,overcast clouds
190,Cabo San Lucas,MX,22.8909,-109.9124,76.51,68,0,9.22,clear sky
191,Cidreira,BR,-30.1811,-50.2056,68.72,97,100,10.58,overcast clouds
192,Flinders,AU,-34.5833,150.8552,81.68,70,89,1.99,light rain
193,Caravelas,BR,-17.7125,-39.2481,76.01,84,99,10.18,overcast clouds
194,Nome,US,64.5011,-165.4064,26.67,80,75,13.8,light snow
195,Porto Nacional,BR,-10.7081,-48.4172,84.2,85,96,1.3,overcast clouds
196,Olafsvik,IS,64.8945,-23.7142,39.65,90,100,0.45,moderate rain
197,Kamenka,RU,51.3223,42.7678,37.22,66,100,11.25,overcast clouds
198,Letterkenny,IE,54.95,-7.7333,53.55,87,100,16.69,overcast clouds
199,Mahon,ES,39.8885,4.2658,68.56,88,40,4.61,scattered clouds
200,Aguimes,ES,27.9054,-15.4461,68.67,83,20,15.01,few clouds
201,Don Benito,ES,38.9563,-5.8616,60.78,66,100,4.0,overcast clouds
202,Shangzhi,CN,45.2167,127.9667,45.52,83,100,6.85,overcast clouds
203,Tulun,RU,54.5611,100.5792,25.3,62,14,4.61,few clouds
204,Lebu,CL,-37.6167,-73.65,47.64,84,0,18.05,clear sky
205,Sioux Lookout,CA,50.1001,-91.917,30.27,80,0,0.0,clear sky
206,Te Anau,NZ,-45.4167,167.7167,65.01,47,35,2.59,scattered clouds
207,Ereymentau,KZ,51.6199,73.1033,31.39,98,99,8.12,overcast clouds
208,Yar-Sale,RU,66.8333,70.8333,27.88,90,100,16.8,overcast clouds
209,Marsh Harbour,BS,26.5412,-77.0636,80.04,76,1,16.17,clear sky
210,Erzin,TR,36.9559,36.2,66.99,59,91,6.8,overcast clouds
211,Achutupo,PA,9.2,-77.9833,76.75,86,95,5.55,light rain
212,Pisco,PE,-13.7,-76.2167,60.85,82,40,5.75,mist
213,Mana,GF,5.6592,-53.7767,77.07,87,100,1.77,overcast clouds
214,Cerrito,CO,6.8432,-72.694,52.02,95,94,0.81,overcast clouds
215,Mmabatho,ZA,-25.85,25.6333,62.56,82,100,1.14,overcast clouds
216,Matara,LK,5.9485,80.5353,81.25,77,100,1.86,overcast clouds
217,Chaman,PK,30.9236,66.4512,64.87,23,40,7.31,scattered clouds
218,Saveh,IR,35.0213,50.3566,59.97,38,31,4.21,scattered clouds
219,Nanortalik,GL,60.1432,-45.2371,25.41,72,50,7.94,scattered clouds
220,Burnie,AU,-41.0667,145.9167,58.95,72,77,15.55,light rain
221,Egvekinot,RU,66.3167,-179.1667,1.98,72,21,5.75,few clouds
222,Yellowknife,CA,62.456,-114.3525,19.92,86,100,12.66,light snow
223,Manggar,ID,-2.8833,108.2667,84.34,66,100,5.73,overcast clouds
224,Narsaq,GL,60.9167,-46.05,21.42,72,73,6.96,broken clouds
225,Kita,ML,13.0349,-9.4895,71.29,39,5,2.15,clear sky
226,Vanimo,PG,-2.6741,141.3028,87.67,67,28,9.48,scattered clouds
227,Nardaran,AZ,40.5561,50.0056,55.04,76,20,2.3,few clouds
228,Tubmanburg,LR,6.8708,-10.8172,73.0,96,19,3.2,light rain
229,Seoul,KR,37.5683,126.9778,64.0,50,0,10.36,clear sky
230,Flin Flon,CA,54.7682,-101.865,42.66,69,98,7.56,overcast clouds
231,Fort Myers Beach,US,26.452,-81.9481,79.02,74,0,6.91,clear sky
232,Sechura,PE,-5.5569,-80.8222,62.37,85,47,9.13,scattered clouds
233,Nagram,IN,26.6167,81.1333,66.25,51,0,0.85,clear sky
234,Tessalit,ML,20.1986,1.0114,71.28,23,6,11.68,clear sky
235,Udachnyy,RU,66.4167,112.4,-1.44,98,66,3.65,broken clouds
236,Berdigestyakh,RU,62.0989,126.6992,20.48,93,100,3.11,overcast clouds
